"序号","文件名","订单号","图片分组","图片ID","原始路径","来源URL"
"1","0001_451160139529831484620870_img_001.jpg","451160139529831484620870","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160139529831484620870\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/24ddc540-9c1e-45df-8ef6-a97aa01ac976.jpg"
"2","0002_451160139529831484620870_img_002.jpg","451160139529831484620870","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160139529831484620870\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/31/406d8470-02f3-482a-8100-c2573470a3a6.jpg"
"3","0003_451160139611908951244892_img_001.jpg","451160139611908951244892","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160139611908951244892\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/a1a0a14f-8c75-48a2-9c77-5894e7bcfbc0.jpg"
"4","0004_451160139611908951244892_img_002.jpg","451160139611908951244892","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160139611908951244892\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/91c6567a-499b-44e6-8712-d95cbcc52704.jpg"
"5","0005_451160140873102632550472_img_001.png","451160140873102632550472","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160140873102632550472\img_001.png","https://static.jhddsz.com/approval/digital/2026/01/23/bc31cb80-6255-47b4-a4ee-af9883b4ff1b.png"
"6","0006_451160140873102632550472_img_002.jpg","451160140873102632550472","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160140873102632550472\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/23/628da1cf-aa9b-42d4-9afc-24207b04cefc.jpg"
"7","0007_451160141355236222566404_img_001.jpg","451160141355236222566404","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141355236222566404\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/fb2cdb7a-f89d-4a5f-a6b3-c45c19e7bc35.jpg"
"8","0008_451160141355236222566404_img_002.jpg","451160141355236222566404","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141355236222566404\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/e81f6595-cdd9-4d67-9357-e7ed3302ba0d.jpg"
"9","0009_451160141390058147020826_img_001.jpg","451160141390058147020826","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141390058147020826\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/3a19dde2-dad6-4e60-bb8c-dc23de471560.jpg"
"10","0010_451160141390058147020826_img_002.jpg","451160141390058147020826","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141390058147020826\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/857512c6-4d98-49e5-b4bd-af4b459fe6a8.jpg"
"11","0011_451160141423377701273607_img_001.jpg","451160141423377701273607","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141423377701273607\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/4d25f7ad-8758-4bb8-a6cb-1b897f3c21b5.jpg"
"12","0012_451160141423377701273607_img_002.jpg","451160141423377701273607","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141423377701273607\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/e41c2358-162a-4345-acab-b8e197166793.jpg"
"13","0013_451160142740045165363240_img_001.jpg","451160142740045165363240","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160142740045165363240\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/fd0e5fa4-cd2d-4743-ba26-4c4c9deccf6e.jpg"
"14","0014_451160142740045165363240_img_002.jpg","451160142740045165363240","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160142740045165363240\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/df0c7895-6418-4694-afc9-a1d68564aa4e.jpg"
"15","0015_451160142922533519360004_img_001.jpg","451160142922533519360004","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160142922533519360004\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/3b1ae189-d6a3-4dc2-9d2b-bf460b0d12a3.jpg"
"16","0016_451160142922533519360004_img_002.jpg","451160142922533519360004","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160142922533519360004\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/9385c73d-509f-464e-a89a-60053b00798d.jpg"
"17","0017_451160143498647119462418_img_001.jpg","451160143498647119462418","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160143498647119462418\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/345c1564-c205-469b-8be6-81a2552e9218.jpg"
"18","0018_451160143498647119462418_img_002.jpg","451160143498647119462418","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160143498647119462418\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/c2d95ecd-9e70-421a-a184-4be5444a1e00.jpg"
"19","0019_451160144295310786560084_img_001.jpg","451160144295310786560084","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160144295310786560084\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/23f1475a-41bd-4c91-a435-8050961fd506.jpg"
"20","0020_451160144295310786560084_img_002.jpg","451160144295310786560084","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160144295310786560084\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/60bc8906-acaa-4504-8955-f8bb6777f126.jpg"
"21","0021_451160144940115401113662_img_001.jpg","451160144940115401113662","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160144940115401113662\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/989cdf4e-6874-43ea-8e01-4bbdc467efc9.jpg"
"22","0022_451160144940115401113662_img_002.jpg","451160144940115401113662","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160144940115401113662\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/24ba3be9-faa8-44d2-9cca-bdaa8afc1842.jpg"
"23","0023_451160145656885805056051_img_001.jpg","451160145656885805056051","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160145656885805056051\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/dbd880e4-f9dc-4ec7-a7e0-7fe8e7668632.jpg"
"24","0024_451160145656885805056051_img_002.jpg","451160145656885805056051","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160145656885805056051\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/2561ef66-10e8-455d-b879-6c07645e2429.jpg"
"25","0025_451160146154535007027239_img_001.jpg","451160146154535007027239","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160146154535007027239\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/3cf412d8-5094-4500-8903-dc87873054de.jpg"
"26","0026_451160146154535007027239_img_002.jpg","451160146154535007027239","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160146154535007027239\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/8847368e-2dc4-4f79-9501-ba023a12cbce.jpg"
"27","0027_451160147063688164147239_img_001.jpg","451160147063688164147239","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160147063688164147239\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/a6038865-8b2e-4082-a857-a5b3ee05ed35.jpg"
"28","0028_451160147063688164147239_img_002.jpg","451160147063688164147239","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160147063688164147239\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/fe5075b3-2e1c-46fd-84e8-a035c8cdc45b.jpg"
"29","0029_451160147511400726528064_img_001.png","451160147511400726528064","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160147511400726528064\img_001.png","https://static.jhddsz.com/approval/digital/2026/01/18/1b2a2bf6-1adf-4290-be7b-2daf66316a1f.png"
"30","0030_451160147511400726528064_img_002.png","451160147511400726528064","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160147511400726528064\img_002.png","https://static.jhddsz.com/approval/digital/2026/01/18/01a64b1a-9c86-4c83-a7df-882a12212330.png"
"31","0031_451160147680720610918443_img_001.jpg","451160147680720610918443","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160147680720610918443\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/9eaf9289-1c9f-4016-9f91-78feb5358bef.jpg"
"32","0032_451160147680720610918443_img_002.jpg","451160147680720610918443","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160147680720610918443\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/72809b94-dd49-4dc9-abdd-681098c3551b.jpg"
"33","0033_451160147996366313881608_img_001.jpg","451160147996366313881608","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160147996366313881608\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/4ddf01c3-e633-4bc0-9fbd-08283676429c.jpg"
"34","0034_451160147996366313881608_img_002.jpg","451160147996366313881608","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160147996366313881608\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/4acd40ac-8351-4697-a942-41c2556745f8.jpg"
"35","0035_451160148092375583948823_img_001.jpg","451160148092375583948823","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160148092375583948823\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/902ad454-cf2b-47e6-aa94-ad6046516a6c.jpg"
"36","0036_451160148092375583948823_img_002.jpg","451160148092375583948823","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160148092375583948823\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/78d39c20-b247-4149-97be-efadae155c57.jpg"
"37","0037_451160148395018049945603_img_001.jpg","451160148395018049945603","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160148395018049945603\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/19e6373a-a94f-494f-ab82-29613db1bde4.jpg"
"38","0038_451160148395018049945603_img_002.jpg","451160148395018049945603","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160148395018049945603\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/1845386b-8e2f-4471-befb-aeacae7fb222.jpg"
"39","0039_451160148549435631206410_img_001.jpg","451160148549435631206410","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160148549435631206410\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/8d6747b9-e816-49b4-bc62-ba0a68038ce3.jpg"
"40","0040_451160148549435631206410_img_002.jpg","451160148549435631206410","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160148549435631206410\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/4b175a7f-32dc-4979-a8a3-adba7995355c.jpg"
"41","0041_451160148582678829465652_img_001.jpg","451160148582678829465652","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160148582678829465652\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/db89a4fa-2923-4405-8988-c9e65b95a259.jpg"
"42","0042_451160148582678829465652_img_002.jpg","451160148582678829465652","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160148582678829465652\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/25d16e83-3b07-4b8e-b579-5901888b4b81.jpg"
"43","0043_451160149754774578790429_img_001.jpg","451160149754774578790429","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160149754774578790429\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/750997ed-05e2-413e-beba-f2db9eae2e4f.jpg"
"44","0044_451160149754774578790429_img_002.jpg","451160149754774578790429","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160149754774578790429\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/ac7c6f28-7cf5-4d1d-aa7c-a8279e990b11.jpg"
"45","0045_451160150022990230323220_img_001.jpg","451160150022990230323220","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160150022990230323220\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/810b4bfd-5a3b-43d1-9549-9d7111dbb015.jpg"
"46","0046_451160150022990230323220_img_002.jpg","451160150022990230323220","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160150022990230323220\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/09b68fdc-bc60-428a-86cb-58474fc85ab7.jpg"
"47","0047_451160150291423949619298_img_001.jpg","451160150291423949619298","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160150291423949619298\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/c4426ab5-f0f1-49ed-8432-938dc3bed79a.jpg"
"48","0048_451160150291423949619298_img_002.jpg","451160150291423949619298","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160150291423949619298\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/c44073ce-57bd-4174-9feb-9c98e720e247.jpg"
"49","0049_451160150346581599846429_img_001.jpg","451160150346581599846429","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160150346581599846429\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/74eb5003-4e1a-465d-af28-cc7077d1093f.jpg"
"50","0050_451160150346581599846429_img_002.jpg","451160150346581599846429","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160150346581599846429\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/c6485d75-39f9-4cdc-8637-a1bb5564b9ca.jpg"
"51","0051_451160150619150090240086_img_001.jpg","451160150619150090240086","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160150619150090240086\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/00ab1230-6734-4295-a6e8-97529931a596.jpg"
"52","0052_451160150619150090240086_img_002.jpg","451160150619150090240086","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160150619150090240086\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/78a8038c-7cbb-4b60-b230-c3164114c654.jpg"
"53","0053_451160150649941396684858_img_001.jpg","451160150649941396684858","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160150649941396684858\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/ad54bfcc-bcab-40b5-ae9b-837445e3bd8e.jpg"
"54","0054_451160150649941396684858_img_002.jpg","451160150649941396684858","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160150649941396684858\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/91be689a-cdbb-4060-9031-0cbbb7827b8a.jpg"
"55","0055_451160151010100379648043_img_001.jpg","451160151010100379648043","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151010100379648043\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/f319ff13-0a0f-43f8-afd1-6c8eb997105b.jpg"
"56","0056_451160151010100379648043_img_002.jpg","451160151010100379648043","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151010100379648043\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/7c58d11b-d834-4eb6-b6cb-ab1c2a13df01.jpg"
"57","0057_451160151295916975718411_img_001.jpg","451160151295916975718411","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151295916975718411\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/63dca105-7a81-4dee-9717-535dee34faab.jpg"
"58","0058_451160151295916975718411_img_002.jpg","451160151295916975718411","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151295916975718411\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/6882bd56-de2b-4610-8652-2d3ee3916661.jpg"
"59","0059_451160151571439163801630_img_001.jpg","451160151571439163801630","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151571439163801630\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/5393102a-bb7c-4bf9-b554-21fa98d299d4.jpg"
"61","0061_451160151608727329177639_img_001.jpg","451160151608727329177639","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151608727329177639\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/b0d0007a-ddd0-4547-8a90-94d8acaf6b81.jpg"
"62","0062_451160151608727329177639_img_002.jpg","451160151608727329177639","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151608727329177639\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/913c0623-dfd1-4f01-81ee-dc3a78594c79.jpg"
"63","0063_451160151922456304025640_img_001.jpg","451160151922456304025640","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151922456304025640\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/1e02f757-e06e-4a58-9c04-bffa230fdf4b.jpg"
"64","0064_451160151922456304025640_img_002.jpg","451160151922456304025640","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160151922456304025640\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/d91dcf54-e705-4326-b670-9180ca8f43c0.jpg"
"65","0065_451160152666176015564852_img_001.jpg","451160152666176015564852","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160152666176015564852\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/cff34225-6f1c-4c76-984d-4eb707f6ef29.jpg"
"66","0066_451160152666176015564852_img_002.jpg","451160152666176015564852","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160152666176015564852\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/07ac9b82-8150-400c-b47f-ef8a1e46d549.jpg"
"67","0067_451160153601230641561613_img_001.jpg","451160153601230641561613","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160153601230641561613\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/26281d6a-cc18-4fa1-8369-ade136f06337.jpg"
"68","0068_451160153601230641561613_img_002.jpg","451160153601230641561613","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160153601230641561613\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/c81886d3-dc67-49be-be74-b71f20067db9.jpg"
"69","0069_451160154686119211827233_img_001.jpg","451160154686119211827233","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160154686119211827233\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/f41168c3-1bb9-4232-ab38-cdfc0c003289.jpg"
"70","0070_451160154686119211827233_img_002.jpg","451160154686119211827233","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160154686119211827233\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/cbdfdaf5-98b1-412d-b505-af6083339354.jpg"
"71","0071_451160154868978365235267_img_001.jpg","451160154868978365235267","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160154868978365235267\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/562750e0-b172-4e45-8ce0-989d96a00450.jpg"
"72","0072_451160154868978365235267_img_002.jpg","451160154868978365235267","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160154868978365235267\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/f6a850a0-10f1-4caf-846b-65b028106600.jpg"
"73","0073_451160155266980826316817_img_001.jpg","451160155266980826316817","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160155266980826316817\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/b8311cd0-1f4b-4fb0-b048-7276e04f4edf.jpg"
"74","0074_451160155266980826316817_img_002.jpg","451160155266980826316817","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160155266980826316817\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/d2cfe512-b37f-498b-81df-74eb64da4449.jpg"
"75","0075_451160155702446912307287_img_001.jpg","451160155702446912307287","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160155702446912307287\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/59e81d96-fbbc-4ae0-bc62-cd5b46fa16a6.jpg"
"76","0076_451160155702446912307287_img_002.jpg","451160155702446912307287","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160155702446912307287\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/290cac19-7599-41e3-abeb-6c0d5344f415.jpg"
"77","0077_451160156223511144038433_img_001.jpg","451160156223511144038433","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160156223511144038433\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/221c2145-9efc-418a-ae3b-01f21e434891.jpg"
"78","0078_451160156223511144038433_img_002.jpg","451160156223511144038433","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160156223511144038433\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/f7dba7f6-4295-42c0-9682-7c9229229c21.jpg"
"79","0079_451160156258763499110414_img_001.jpg","451160156258763499110414","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160156258763499110414\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/0bc193be-bdef-4272-955f-93f06953551e.jpg"
"80","0080_451160156258763499110414_img_002.jpg","451160156258763499110414","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160156258763499110414\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/19/2f4e6a36-10fc-4b53-911c-86616d9cc808.jpg"
"81","0081_451160156317929124659299_img_001.jpg","451160156317929124659299","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160156317929124659299\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/b9293024-ec26-4a06-9b13-f4a7bb7cf734.jpg"
"82","0082_451160156317929124659299_img_002.jpg","451160156317929124659299","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160156317929124659299\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/10ac7576-e2c4-44dd-a29a-af58a44df97e.jpg"
"83","0083_451160157266424053760001_img_001.jpg","451160157266424053760001","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160157266424053760001\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/af3a3707-b44b-4c8b-8060-ec638734677f.jpg"
"84","0084_451160157266424053760001_img_002.jpg","451160157266424053760001","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160157266424053760001\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/cf24ae9f-018c-4ef0-a0c1-78b5a7f3d9f1.jpg"
"85","0085_451160157706322680217626_img_001.jpg","451160157706322680217626","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_current_page2_20260708_230334\images\451160157706322680217626\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/dc006eba-4b68-4928-ac32-e0dea3b0afe3.jpg"
