"序号","文件名","订单号","图片分组","图片ID","原始路径","来源URL"
"593","0593_481173621679256659558438_img_002.jpg","481173621679256659558438","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173621679256659558438\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/e770332a-0406-49c2-9c00-ec1d39b6154c.jpg"
"594","0594_481173621679256659558438_img_003.jpg","481173621679256659558438","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173621679256659558438\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/24fb3048-1cc7-4436-b552-f5616ed36e4d.jpg"
"595","0595_481173621871614181376024_img_001.jpg","481173621871614181376024","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173621871614181376024\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/e78b16c7-bb22-40d9-83a0-2e87c2387792.jpg"
"596","0596_481173621871614181376024_img_002.jpg","481173621871614181376024","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173621871614181376024\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/e7446bbd-7cf3-41d2-899c-afb992335b4a.jpg"
"597","0597_481173621871614181376024_img_003.jpg","481173621871614181376024","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173621871614181376024\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/5893b9bc-36c4-42f8-b29d-1bf3bc1226f6.jpg"
"598","0598_481173621947525215027262_img_001.jpg","481173621947525215027262","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173621947525215027262\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/02c3541f-6b57-44d5-9750-bd926fa372e6.jpg"
"599","0599_481173621947525215027262_img_002.jpg","481173621947525215027262","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173621947525215027262\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/4e48454c-bbc5-40ef-a785-f60e7fea346a.jpg"
"600","0600_481173621947525215027262_img_003.jpg","481173621947525215027262","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173621947525215027262\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/10d1511d-aaff-4f04-8c76-9a1fa8873288.jpg"
"601","0601_481173622586196882227248_img_001.jpg","481173622586196882227248","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173622586196882227248\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/884fa44f-ab41-4197-937f-7becb0d65d67.jpg"
"602","0602_481173622586196882227248_img_002.jpg","481173622586196882227248","商品照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173622586196882227248\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/b8f553a5-ebb7-4cc2-82c5-e9f7c7791272.jpg"
"603","0603_481173622586196882227248_img_003.jpg","481173622586196882227248","拆封照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173622586196882227248\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/4d5c9f94-ae16-439c-823d-d94991cf6df1.jpg"
"604","0604_481173622586196882227248_img_004.jpg","481173622586196882227248","SN码采集 / 激活照片","img_004","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173622586196882227248\img_004.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/c57fabe2-4fae-4903-94f5-981a019e482b.jpg"
"605","0605_481173623525330072371267_img_001.jpg","481173623525330072371267","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173623525330072371267\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/fb30b7b9-0955-4f36-8d46-04030eb3e30e.jpg"
"606","0606_481173623525330072371267_img_002.jpg","481173623525330072371267","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173623525330072371267\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/8411bf1f-9e8c-4af3-a107-6e2908895e26.jpg"
"607","0607_481173623525330072371267_img_003.jpg","481173623525330072371267","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173623525330072371267\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/02e73a0f-f190-4a09-8845-fa1c8f25edf2.jpg"
"608","0608_481173623924627829555299_img_001.jpg","481173623924627829555299","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173623924627829555299\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/2d3a55e0-e75a-43c8-baad-b2226d7a9c99.jpg"
"609","0609_481173623924627829555299_img_002.jpg","481173623924627829555299","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173623924627829555299\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/d42bd279-efe2-44f9-a603-1ae4df1902ef.jpg"
"610","0610_481173623924627829555299_img_003.jpg","481173623924627829555299","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173623924627829555299\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/56ed34e1-76fb-4dc1-b96a-8e7a584903c0.jpg"
"611","0611_481173624404259926835257_img_001.jpg","481173624404259926835257","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173624404259926835257\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/b45e3d23-f50a-4af7-b118-7cc70c3255b6.jpg"
